food,split,shape,asset_path,method,trial_index,seed,success,spill,trajectory_rmse_from_baseline,bias_approach_speed,bias_scoop_depth,bias_tilt_angle,bias_lift_speed,attr_hardness,attr_stickiness,attr_rollability,attr_fragility,mass,static_friction,dynamic_friction,restitution,notes
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,20,27911967,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,21,685731524,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,22,1815115025,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,23,1461364854,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,24,1193448329,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,25,667779376,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,26,924765563,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,27,1445662585,1,1,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,28,438989805,1,0,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,baseline_grits,29,398340369,0,1,0.0,0.0,0.0,0.0,0.0,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,0,1631775357,0,1,0.13712140988686872,-0.17744479419327583,0.15289752119288233,0.045639453801432056,0.13513644024072727,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,1,1973214822,1,0,0.10836270242611186,0.015940360240068313,0.20817093615092305,-0.05344487402832446,0.02289787776021987,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,2,1553210608,1,1,0.126025215508997,0.03403494391297532,0.09001160793456633,-0.19983727119150863,-0.11972475871331939,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,3,1242911821,0,0,0.15716849994204257,0.2134974690907334,0.15633979724666466,0.16125281337231864,-0.05274446098276689,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,4,1947382419,1,0,0.08170260784575628,0.05970115547633606,-0.059473841253162935,-0.05712037446857163,-0.12781690646054542,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,5,1146660997,0,1,0.11564890300381725,0.08880093792176261,0.08076097283613357,-0.18858289578543874,0.05939044680670649,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,6,1051454923,1,0,0.13687146050500232,-0.14810290274475152,-0.053039605626634984,0.2153902742801019,0.06159989433580085,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,7,943239974,1,0,0.12074388080309799,0.08123027043554484,0.15085484488351622,0.12143996108034774,-0.11921884833579408,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,8,137869475,1,0,0.14948593233209584,0.1342201523393343,-0.04348749371017527,-0.19087701370691923,0.18177989464163982,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,9,1351531223,1,0,0.11021360616844715,-0.12644432061617814,-0.0003382458233979757,0.1692605877101491,0.06285482288818664,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,10,613628803,1,0,0.09321785736609885,-0.10345272674085691,-0.11148389661464728,0.02700197903178636,-0.10439369224990848,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,11,1840109255,0,0,0.15473803043245396,0.17504206878508985,-0.04426377773822521,-0.12349886597079533,0.21891654685784853,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,12,2119634399,0,1,0.1618271581089189,-0.17999985864353069,-0.1992687948131168,-0.17175438264570997,0.056076258349359615,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,13,1813163240,0,1,0.03983681492074519,0.04241997352206847,-0.05070238286321996,0.042190908478896366,-0.014058049374742004,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,14,1079815404,0,1,0.17592377341160795,0.20727448614999197,0.15874306898317916,-0.21494835034515936,0.09711760051848564,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,15,1146005448,0,1,0.11157004014180645,0.11818344236927622,-0.0703227918663401,-0.09085994339513251,-0.15041058808834534,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,16,13938521,0,1,0.13969556765650562,0.19967900810927527,0.1653752937664054,-0.10410881766952007,0.0002578897421312565,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,17,767303988,0,1,0.11794329687335398,0.003379936825903096,-0.1731792379690098,0.055132085169223716,0.1503345131958855,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,18,854316681,1,0,0.11402197308091382,-0.15275072183816069,0.11550475203306657,0.01732677325263532,0.12259565059744562,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,19,2456273,0,0,0.09316702423648641,0.04353561716250079,-0.005013488467262933,-0.17077820085880618,-0.06028846244038924,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,20,1320763135,1,0,0.12386902873983457,-0.11464098345125413,-0.11401649932321743,0.029637055223120407,-0.1853468987517989,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,21,2087313121,1,0,0.1507384968751812,0.13905023150483894,0.21031317721802703,0.01439071459298688,-0.1646653749310058,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,22,2041322270,0,1,0.12521494726691246,0.196613419070196,-0.14734413805138383,0.012176466464031754,0.04690132369235675,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,23,909666337,0,1,0.12648069359113812,0.18872193692095782,0.11231668651975443,0.08354175812383344,0.09369754804041361,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,24,1713658874,0,0,0.11469088213266079,0.21786571693079362,0.06594634536135954,-0.02723596307761822,0.007733370055659883,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,25,519709079,0,0,0.15336078486091406,-0.11092152998695651,-0.19182860561640824,-0.2107449255968941,0.0237254698667711,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,26,945826486,1,0,0.17978100067278588,-0.21683603084655884,0.09145001648131981,-0.19409554257441772,-0.1903438556314647,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,27,134917627,0,1,0.14098826570756914,0.1582395761116485,-0.18882276604899248,-0.11527796087764211,0.07435022245036346,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,28,920140090,0,0,0.09923212164139988,0.01726292981369204,0.09827512898762716,0.16824855306192457,0.03353312587719595,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,random_bias,29,1043665192,1,0,0.14491194927333456,0.12523254668793146,0.1352986790173231,-0.1362196376807738,-0.17735044173931774,0.28,0.72,0.15,0.75,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,0,1851350739,0,1,0.06904977444103504,-0.09765112749331485,0.0,0.0,-0.09765112749331485,0.2298291646846986,0.7852726783149372,0.1675100405990777,0.7298436697195999,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,1,422701550,1,0,0.06751126338467657,-0.09547534429155174,0.0,0.0,-0.09547534429155174,0.3998799519323123,0.7679984730620306,0.16202881640528458,0.7134427579806276,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,2,822873088,1,0,0.0724769996888908,-0.10249795592013997,0.0,0.0,-0.10249795592013997,0.3120281752427742,0.8012051948953955,0.09298666914514384,0.7804712021921274,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,3,1072910527,0,1,0.05876444140943676,-0.08310547002650459,0.0,0.0,-0.08310547002650459,0.30232436246897404,0.6975309612477543,0.20615143654111903,0.602861524551461,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,4,420514789,0,1,0.06101827759860982,-0.08629287573260042,0.0,0.0,-0.08629287573260042,0.5691655102959599,0.8151387700769708,0.258506969089484,0.5691992153593983,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,5,1015242176,1,1,0.07516675843399569,-0.10630184921697894,0.0,0.0,-0.10630184921697894,0.3263028553153644,0.7997867252584675,0.1682909351994368,0.8289064119256945,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,6,251837136,1,1,0.07461238637613136,-0.10551784873414652,0.0,0.0,-0.10551784873414652,0.282685493406393,0.7245173823229586,0.008839102628241557,0.8661497452249823,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,7,1954246074,1,0,0.06428810377111777,-0.09091710825236367,0.0,0.0,-0.09091710825236367,0.2528581637185723,0.8405386385858838,0.13290406615927147,0.6111272040383684,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,8,2090237817,1,0,0.06868020742747177,-0.09712848081052797,0.0,0.0,-0.09712848081052797,0.3177990741858085,0.7754672032049037,0.2532293350417141,0.7294390081285348,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,9,261810763,1,0,0.06421217060217439,-0.09080972253500998,0.0,0.0,-0.09080972253500998,0.2796508565744757,0.692552945262454,0.06834293243973316,0.7022759408985909,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,10,676168421,1,0,0.0676894688653938,-0.09572736489927126,0.0,0.0,-0.09572736489927126,0.36924005392847875,0.753324040651753,0.16792238145544117,0.7257645358335452,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,11,291889680,1,1,0.07254331493764621,-0.102591739844322,0.0,0.0,-0.102591739844322,0.2534724457989831,0.6677644010533668,0.2726844497383808,0.8650439973956708,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,12,1057486868,1,1,0.07076205133916547,-0.10007265270518904,0.0,0.0,-0.10007265270518904,0.2599607815876502,0.7091599254685806,0.2518965108054251,0.8076832053970001,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,13,1358798143,1,0,0.06385261208127872,-0.09030122999829251,0.0,0.0,-0.09030122999829251,0.32959176978563526,0.6984309696234863,0.13754379328523775,0.6922460189639774,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,14,1699887270,1,0,0.0736310887864155,-0.1041300843740463,0.0,0.0,-0.1041300843740463,0.35840462690912944,0.8044212278074228,0.0,0.7988627872959396,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,15,311570307,1,1,0.06731192544426895,-0.09519343787273177,0.0,0.0,-0.09519343787273177,0.39127294840543353,0.7265203358088816,0.1161190233799323,0.735842763528596,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,16,915490795,1,0,0.06921502337558164,-0.09788482477771836,0.0,0.0,-0.09788482477771836,0.23738236385753092,0.7184235104788991,0.132399069822006,0.7745456156721675,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,17,1049193572,1,1,0.06299139484787783,-0.08908328490666753,0.0,0.0,-0.08908328490666753,0.2480122942171828,0.754266923069463,0.2126546572033638,0.6421242344149296,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,18,33599984,1,0,0.06387352641812924,-0.09033080733711454,0.0,0.0,-0.09033080733711454,0.22979031684239917,0.6315044090290984,0.18402589318739931,0.7344448360707453,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,19,576775951,1,0,0.07116935118919746,-0.1006486616770568,0.0,0.0,-0.1006486616770568,0.26475230233369096,0.8872938723546011,0.1477850837766943,0.7035496007415843,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,20,1210133979,0,1,0.07127679637073636,-0.10080061211000077,0.0,0.0,-0.10080061211000077,0.1793921145482641,0.6421326789502977,0.18261425108808022,0.8586747270310736,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,21,1133802214,1,0,0.06701193137534514,-0.09476918219182823,0.0,0.0,-0.09476918219182823,0.21919533644967998,0.717932689736216,0.17164961331601644,0.7359068463127177,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,22,1819244083,1,0,0.06920995237692704,-0.09787765330264625,0.0,0.0,-0.09787765330264625,0.29148707666913587,0.6989008277299203,0.12876709404240505,0.786657648951878,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,23,1125089309,0,1,0.06489494916340675,-0.09177531723640237,0.0,0.0,-0.09177531723640237,0.32556420341826753,0.7934002968028744,0.1217779658908414,0.6513162799532329,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,24,480494664,1,1,0.06732436099230392,-0.09521102439341837,0.0,0.0,-0.09521102439341837,0.42757429502129524,0.79547790112907,0.23272233885199037,0.6929641167120608,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,25,1585770584,1,0,0.06987794921170318,-0.09882234348600896,0.0,0.0,-0.09882234348600896,0.2406573359401954,0.6975562063180277,0.19781422154322,0.7993066646263447,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,26,171347175,1,0,0.06883772718381535,-0.09735124738629075,0.0,0.0,-0.09735124738629075,0.3242287909276647,0.6874070544887994,0.15011009726530414,0.7872611832731347,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,27,1745377599,1,0,0.06561616238045569,-0.09279526674931571,0.0,0.0,-0.09279526674931571,0.4113139622864481,0.6982171460410013,0.20252263574327473,0.7235551180908205,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,28,697939765,1,0,0.06642605476537945,-0.09394062754413758,0.0,0.0,-0.09394062754413758,0.4243492604063297,0.6982572795934334,0.16317456787062806,0.7378470445558238,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_decision_only,29,1426725702,1,0,0.058567306200525644,-0.08282667874044122,0.0,0.0,-0.08282667874044122,0.296653547618988,0.639293249857352,0.08711756122730256,0.6357752030946702,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,0,1065870178,0,1,0.10743834100465324,-0.08778076971966554,-0.016609892219581167,-0.06180477148149874,-0.18539365318512196,0.265162829323663,0.8599896843991537,0.27625605959543553,0.8519282923143819,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,1,2021598245,1,0,0.09933045780357748,-0.051520622606855825,0.0032047754031881595,-0.0943459747569514,-0.16703398246420065,0.30539241346091334,0.8651350672479982,0.08384317608237829,0.7668518940846575,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,2,977515194,1,0,0.09929424117192936,-0.05750578295350508,-0.002229840314446732,-0.08822741091677436,-0.1683491075760016,0.29989627118764384,0.8358194774303624,0.09806313873141562,0.7885045982815628,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,3,298159856,0,1,0.07516384300800243,-0.03301966988796227,0.009809789515944512,-0.06631254507765257,-0.13043975229351557,0.34332919972718423,0.7066314443981975,0.09906601860452294,0.6872509902231578,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,4,1422277848,0,1,0.08019399070245514,-0.05422307124638006,-0.0024703529157271546,-0.05002787739122377,-0.14239126365038088,0.3167550563091805,0.7052434639285652,0.19931275758538863,0.7407216695899294,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,5,1140169349,1,0,0.09701133517191497,-0.06509327730894399,-0.0030462185554030576,-0.07444434603888095,-0.16690243183335435,0.3846934874372743,0.7456620887182388,0.07048576445521555,0.8659219445958427,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,6,1874297457,1,0,0.09723455517338289,-0.06806206058277689,-0.030990785185499012,-0.07681431034549116,-0.16224957241244675,0.20479040075649557,0.6607410543887383,0.07124098853721521,0.8192637137003241,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,7,1094024844,1,0,0.08530594500699006,-0.033507882328907376,0.01068332341117196,-0.08719683260009731,-0.14236649121677986,0.36231795053883664,0.7435718805514766,0.006136226113260063,0.7318989220244727,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,8,846259450,0,1,0.08258397405678783,-0.04050030405056022,-0.0018016685598981307,-0.07538975893855217,-0.14125620231851152,0.2599605378157559,0.7429557047313508,0.11324577230420993,0.6885259261669715,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,9,1348257414,0,1,0.07602657626624283,-0.05085482817963279,-0.0075616582223303605,-0.04654316163624059,-0.1353163075010504,0.25862984306845965,0.6846865706147736,0.2270046631672707,0.6940874520245115,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,10,1754034197,0,1,0.09719520131655322,-0.05153127638499453,-0.007997061060047661,-0.09279338900948021,-0.162657893016391,0.2230412460686296,0.8297633606281325,0.10080754785268325,0.7324944881847948,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,11,1628416575,1,0,0.07525736930805352,-0.046350287100951064,-0.022898289941577547,-0.05800479079162043,-0.12890868857181903,0.20382977767196803,0.5649663584322189,0.09936518890865154,0.7050674269778966,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,12,1743499,0,1,0.07777123060579198,-0.03602764406695245,0.004913910703977638,-0.06776639493998671,-0.1351999826226807,0.26175015931013257,0.771837722594162,0.17434829817714087,0.6434605846769574,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,13,1384049914,1,0,0.10380327838244681,-0.08095839991763419,-0.0316207956381276,-0.07011350767647634,-0.1750155456497047,0.19564730127204738,0.7388616341264225,0.17047863365537702,0.8382283915458558,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,14,728818981,1,0,0.07429704458020268,-0.032669044799995675,-0.00429245951079761,-0.06952294535115167,-0.12712620385394713,0.24457906932725107,0.6650663926601525,0.0927189140483193,0.6547158054725097,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,15,401094954,0,1,0.06778886716693666,-0.03781528656917422,0.0005244622333984351,-0.04764285463237497,-0.121166040995989,0.3356121180369543,0.598714115246714,0.12339020561967112,0.699516277802026,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,16,855256552,0,1,0.0828324342294036,-0.060402534969668284,-0.00458048340302119,-0.04545030261990375,-0.14734202243170721,0.29479425078903476,0.7396664825957253,0.2594151548586393,0.7389187506151405,0.018,1.1,0.85,0.02,dry_run
bopian,test,sheet,dafan/dafan/food/bopian.usd,llm_bias,17,312794864,1,0,0.09698005703866176,-0.045030965641178894,-0.022315647380521438,-0.10391457791497263,-0.1558733792700108,0.11973336932394257,0.7661076566926025,0.03677313840623453,0.691705526476306,0.018,1.1,0.85,0.02,dry_run
