food,split,method,trials,success_rate,spill_rate,mean_action_distance,trajectory_rmse_from_baseline
marshmallow,real,llm_decision_only,5,0.6,0.4,0.09576077053376497,0.05300287575327974
marshmallow,real,llm_bias,5,0.8,0.2,0.035001720324755216,0.076255499378262
marshmallow,real,human_upper_bound,5,0.8,0.4,0.0,0.08537271226803093
prune,real,baseline_grits,5,1.0,0.0,0.13583077707206118,0.0
prune,real,random_bias,5,0.2,0.4,0.29790040324728384,0.12040486924600266
prune,real,llm_decision_only,5,0.6,0.2,0.1469861034374517,0.04475677750491354
prune,real,llm_bias,5,1.0,0.0,0.05335555473020215,0.05846661853398587
prune,real,human_upper_bound,5,1.0,0.2,0.0,0.06791538853603059
milk_tea,real,baseline_grits,5,0.4,0.2,0.14434680460612903,0.0
milk_tea,real,random_bias,5,0.0,0.2,0.2777116575471546,0.12765472377930026
milk_tea,real,llm_decision_only,5,0.6,0.2,0.15539954358803992,0.006006979519883058
milk_tea,real,llm_bias,5,1.0,0.2,0.06261027600127038,0.0473954773957032
milk_tea,real,human_upper_bound,5,1.0,0.0,0.0,0.07217340230306452
nuts,real,baseline_grits,5,0.6,0.4,0.278655701538655,0.0
nuts,real,random_bias,5,0.2,0.6,0.3525889710333774,0.11850925517318397
nuts,real,llm_decision_only,5,0.2,0.4,0.29074565406478464,0.014458182765478006
nuts,real,llm_bias,5,0.6,0.2,0.06414443821098263,0.11100074808000708
nuts,real,human_upper_bound,5,1.0,0.2,0.0,0.1393278507693275
ramen_snack,real,baseline_grits,5,0.6,0.4,0.17199418594824645,0.0
ramen_snack,real,random_bias,5,0.6,0.2,0.29459294351154863,0.10314201279073743
ramen_snack,real,llm_decision_only,5,0.6,0.4,0.13736236395459192,0.04507109798418626
ramen_snack,real,llm_bias,5,1.0,0.0,0.04244602734050097,0.07449913228532856
ramen_snack,real,human_upper_bound,5,0.8,0.6,0.0,0.08599709297412322
fudge,real,baseline_grits,5,1.0,0.0,0.13681008734738823,0.0
fudge,real,random_bias,5,0.8,0.2,0.21422590725531424,0.12531658795081718
fudge,real,llm_decision_only,5,0.6,0.2,0.14091675410041404,0.044658759433769304
fudge,real,llm_bias,5,0.6,0.6,0.04568652158366092,0.05846980817385191
fudge,real,human_upper_bound,5,1.0,0.2,0.0,0.06840504367369411
penne,real,baseline_grits,5,0.6,0.0,0.20171762441591462,0.0
penne,real,random_bias,5,0.4,0.4,0.3109339655235082,0.10541965593408527
penne,real,llm_decision_only,5,0.8,0.2,0.21609216093093003,0.016922064816450675
penne,real,llm_bias,5,0.6,0.2,0.041780053893032104,0.08695277544692617
penne,real,human_upper_bound,5,0.6,0.2,0.0,0.10085881220795731
sago,real,baseline_grits,5,0.8,0.0,0.12141251994749151,0.0
sago,real,random_bias,5,0.2,0.4,0.29436425165870295,0.12353799405849827
sago,real,llm_decision_only,5,0.4,0.6,0.13240497245290564,0.024878970926160725
sago,real,llm_bias,5,1.0,0.2,0.03389242134371574,0.05244304694916744
sago,real,human_upper_bound,5,1.0,0.0,0.0,0.060706259973745756
red_bean,real,baseline_grits,5,0.6,0.2,0.15546060594247016,0.0
red_bean,real,random_bias,5,0.4,0.2,0.32152985130331435,0.11679527928577371
red_bean,real,llm_decision_only,5,0.8,0.2,0.17442804716964133,0.016083628333893953
red_bean,real,llm_bias,5,0.8,0.0,0.041808062961006254,0.07249861667637915
red_bean,real,human_upper_bound,5,0.8,0.2,0.0,0.07773030297123508
mentos,real,baseline_grits,5,0.4,0.4,0.33280474756229067,0.0
mentos,real,random_bias,5,0.4,0.0,0.4549468585979602,0.14149709906101335
mentos,real,llm_decision_only,5,0.2,0.2,0.33915589731245005,0.007015972378510026
mentos,real,llm_bias,5,0.6,0.2,0.08263289295516588,0.12850807067565398
mentos,real,human_upper_bound,5,0.8,0.2,0.0,0.16640237378114534
